117.21.176.75 -  -  [25/Aug/2015:01:12:03 +0000] "GET /manager/html HTTP/1.1" 404 1413 
127.0.0.1 -  -  [25/Aug/2015:14:39:09 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:39:20 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:39:30 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:39:41 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:39:51 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:02 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:12 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:23 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:33 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:44 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:40:54 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:41:05 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:41:16 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 1785 
127.0.0.1 -  -  [25/Aug/2015:14:41:24 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:41:35 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:41:45 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:41:56 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:42:06 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:42:17 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
127.0.0.1 -  -  [25/Aug/2015:14:42:27 +0000] "GET /openhab.app?sitemap=default&sitemap=default&w=0000&poll=true&__async=true&__source=wa0000 HTTP/1.1" 200 92 
