@relation rel

@attribute date date 'yyyy-MM-dd\'T\'HH:mm:ss'
@attribute knownPresence numeric
@attribute openEntryPoint numeric
@attribute motionIndoors numeric
@attribute motionIndoorPerMinute numeric
@attribute motionOutdoors numeric
@attribute outdoorPerMinute numeric
@attribute normal {true,false}

@data
2015-11-24T12:48:15,1,1,1,1,0,0,true
2015-11-24T12:48:15,1,1,1,1,0,0,true
2015-11-24T12:48:15,1,1,1,1,0,0,true
2015-11-24T12:48:16,1,1,1,1,0,0,true
2015-11-24T12:48:16,1,1,1,1,0,0,true
2015-11-24T12:48:16,1,1,1,1,0,0,true
2015-11-24T12:48:16,1,1,1,1,0,0,true
2015-11-24T12:48:17,1,1,1,1,0,0,true
2015-11-24T12:48:17,1,1,1,1,0,0,true
2015-11-24T12:48:17,1,1,1,1,0,0,true
2015-11-24T12:48:18,1,1,1,1,0,0,true
2015-11-24T12:48:18,1,1,1,1,0,0,true
2015-11-24T12:48:18,1,1,1,1,0,0,true
2015-11-24T12:48:19,1,1,1,1,0,0,true
2015-11-24T12:48:19,1,1,1,1,0,0,true
2015-11-24T12:48:19,1,1,1,1,0,0,true
2015-11-24T12:48:20,1,1,1,1,0,0,true
2015-11-24T12:48:20,1,1,1,1,0,0,true
2015-11-24T12:48:20,1,1,1,1,0,0,true
2015-11-24T12:48:21,1,1,1,1,0,0,true
2015-11-24T12:48:21,1,1,1,1,0,0,true
2015-11-24T12:48:21,1,1,1,1,0,0,true
2015-11-24T12:48:21,1,1,1,1,0,0,true
2015-11-24T12:48:22,1,1,1,1,0,0,true
2015-11-24T12:48:22,1,1,1,1,0,0,true
2015-11-24T12:48:22,1,1,1,1,0,0,true
2015-11-24T12:48:23,1,1,1,1,0,0,true
2015-11-24T12:48:23,1,1,1,1,0,0,true
2015-11-24T12:48:23,1,1,1,1,0,0,true
2015-11-24T12:48:24,1,1,1,1,0,0,true
2015-11-24T12:48:24,1,1,1,1,0,0,true
2015-11-24T12:48:24,1,1,1,1,0,0,true
2015-11-24T12:48:25,1,1,1,1,0,0,true
2015-11-24T12:48:25,1,1,1,1,0,0,true
2015-11-24T12:48:25,1,1,1,1,0,0,true
2015-11-24T12:48:26,1,1,1,1,0,0,true
2015-11-24T12:48:26,1,1,1,1,0,0,true
2015-11-24T12:48:26,1,1,1,1,0,0,true
2015-11-24T12:48:26,1,1,1,1,0,0,true
2015-11-24T12:48:27,1,1,1,1,0,0,true
2015-11-24T12:48:27,1,1,1,1,0,0,true
2015-11-24T12:48:27,1,1,1,1,0,0,true
2015-11-24T12:48:28,1,1,1,1,0,0,true
2015-11-24T12:48:28,1,1,1,1,0,0,true
2015-11-24T12:48:28,1,1,1,1,0,0,true
2015-11-24T12:48:29,1,1,1,1,0,0,true
2015-11-24T12:48:29,1,1,1,1,0,0,true
2015-11-24T12:48:29,1,1,1,1,0,0,true
2015-11-24T12:48:30,1,1,1,1,0,0,true
2015-11-24T12:48:30,1,1,1,1,0,0,true
2015-11-24T12:48:30,1,1,1,1,0,0,true
2015-11-24T12:48:31,1,1,1,1,0,0,true
2015-11-24T12:48:31,1,1,1,1,0,0,true
2015-11-24T12:48:31,1,1,1,1,0,0,true
2015-11-24T12:48:31,1,1,1,1,0,0,true
2015-11-24T12:48:32,1,1,1,1,0,0,true
2015-11-24T12:48:32,1,1,1,1,0,0,true
2015-11-24T12:48:32,1,1,1,1,0,0,true
2015-11-24T12:48:33,1,1,1,1,0,0,true
2015-11-24T12:48:33,1,1,1,1,0,0,true
2015-11-24T12:48:33,1,1,1,1,0,0,true
2015-11-24T12:48:34,1,1,1,1,0,0,true
2015-11-24T12:48:34,1,1,1,1,0,0,true
2015-11-24T12:48:34,1,1,1,1,0,0,true
2015-11-24T12:48:35,1,1,1,1,0,0,true
2015-11-24T12:48:35,1,1,1,1,0,0,true
2015-11-24T12:48:35,1,1,1,1,0,0,true
2015-11-24T12:48:36,1,1,1,1,0,0,true
2015-11-24T12:48:36,1,1,1,1,0,0,true
2015-11-24T12:48:36,1,1,1,1,0,0,true
2015-11-24T12:48:36,1,1,1,1,0,0,true
2015-11-24T12:48:37,1,1,1,1,0,0,true
2015-11-24T12:48:37,1,1,1,1,0,0,true
2015-11-24T12:48:37,1,1,1,1,0,0,true
2015-11-24T12:48:38,1,1,1,1,0,0,true
2015-11-24T12:48:38,1,1,1,1,0,0,true
2015-11-24T12:48:38,1,1,1,1,0,0,true
2015-11-24T12:48:39,1,1,1,1,0,0,true
2015-11-24T12:48:39,1,1,1,1,0,0,true
2015-11-24T12:48:39,1,1,1,1,0,0,true
2015-11-24T12:48:40,1,1,1,1,0,0,true
2015-11-24T12:48:40,1,1,1,1,0,0,true
2015-11-24T12:48:40,1,1,1,1,0,0,true
2015-11-24T12:48:41,1,1,1,1,0,0,true
2015-11-24T12:48:41,1,1,1,1,0,0,true
2015-11-24T12:48:41,1,1,1,1,0,0,true
2015-11-24T12:48:41,1,1,1,1,0,0,true
2015-11-24T12:48:42,1,1,1,1,0,0,true
2015-11-24T12:48:42,1,1,1,1,0,0,true
2015-11-24T12:48:42,1,1,1,1,0,0,true
2015-11-24T12:48:43,1,1,1,1,0,0,true
2015-11-24T12:48:43,1,1,1,1,0,0,true
2015-11-24T12:48:43,1,1,1,1,0,0,true
2015-11-24T12:48:43,1,1,1,1,0,0,true
2015-11-24T12:48:43,0,1,1,1,0,0,true
2015-11-24T12:48:43,0,1,1,1,0,0,true
2015-11-24T12:48:46,0,0,1,1,0,0,true
2015-11-24T12:49:01,0,0,0,0,0,0,true
2015-11-24T12:49:06,0,0,0,0,0,0,true
2015-11-24T12:49:11,0,0,0,0,0,0,true
2015-11-24T12:49:30,0,0,0,0,0,0,true
2015-11-24T12:49:35,0,0,0,0,0,0,true
2015-11-24T12:49:40,0,0,0,0,0,0,true
2015-11-24T12:49:43,0,0,0,0,0,0,true
2015-11-24T12:49:43,0,0,1,1,0,0,true
2015-11-24T12:49:43,0,0,1,1,0,0,true
2015-11-24T12:49:43,0,0,1,1,0,0,true
2015-11-24T12:49:43,0,0,1,1,0,0,true
2015-11-24T12:49:43,0,0,1,1,0,0,true
2015-11-24T12:49:45,0,0,1,1,0,0,true
2015-11-24T12:49:50,0,0,1,1,0,0,true
2015-11-24T12:49:55,0,0,0,0,0,0,true
2015-11-24T12:50:00,0,0,0,0,0,0,true
2015-11-24T12:50:05,0,0,0,0,0,0,true
2015-11-24T12:50:10,0,0,0,0,0,0,true
2015-11-24T12:50:15,0,0,0,0,0,0,true
2015-11-24T12:50:20,0,0,0,0,0,0,true
2015-11-24T12:50:25,0,0,0,0,0,0,true
2015-11-24T12:50:30,0,0,0,0,0,0,true
2015-11-24T12:50:35,0,0,0,0,0,0,true
2015-11-24T12:50:40,0,0,0,0,0,0,true
2015-11-24T12:50:43,0,0,0,0,0,0,true
2015-11-24T12:50:43,0,0,1,1,0,0,true
2015-11-24T12:50:43,0,0,1,1,0,0,true
2015-11-24T12:50:43,0,0,1,1,0,0,true
2015-11-24T12:50:43,0,0,1,1,0,0,true
2015-11-24T12:50:43,0,0,1,1,0,0,true
2015-11-24T12:50:45,0,0,1,1,0,0,true
2015-11-24T12:50:50,0,0,1,1,0,0,true
2015-11-24T12:50:55,0,0,0,0,0,0,true
2015-11-24T12:51:00,0,0,0,0,0,0,true
2015-11-24T12:51:05,0,0,0,0,0,0,true
2015-11-24T12:51:10,0,0,0,0,0,0,true
2015-11-24T12:51:15,0,0,0,0,0,0,true
2015-11-24T12:51:20,0,0,0,0,0,0,true
2015-11-24T12:51:25,0,0,0,0,0,0,true
2015-11-24T12:51:30,0,0,0,0,0,0,true
2015-11-24T12:51:35,0,0,0,0,0,0,true
2015-11-24T12:51:40,0,0,0,0,0,0,true
2015-11-24T12:51:43,0,0,0,0,0,0,true
2015-11-24T12:51:43,0,0,1,1,0,0,true
2015-11-24T12:51:43,0,0,1,1,0,0,true
2015-11-24T12:51:43,0,0,1,1,0,0,true
2015-11-24T12:51:43,0,0,1,1,0,0,true
2015-11-24T12:51:43,0,0,1,1,0,0,true
2015-11-24T12:51:45,0,0,1,1,0,0,true
2015-11-24T12:51:50,0,0,1,1,0,0,true
